class,precision,recall,f1_score,support
airplane,0.9786150712830958,0.961,0.9697275479313825,1000
automobile,0.9790419161676647,0.981,0.98001998001998,1000
bird,0.9837067209775967,0.966,0.9747729566094854,1000
cat,0.9525283797729618,0.923,0.9375317420010157,1000
deer,0.9758308157099698,0.969,0.9724034119417962,1000
dog,0.9378036929057337,0.965,0.9512074913750616,1000
frog,0.9879759519038076,0.986,0.986986986986987,1000
horse,0.97252208047105,0.991,0.9816740960871718,1000
ship,0.9623552123552124,0.997,0.9793713163064833,1000
truck,0.9818181818181818,0.972,0.9768844221105528,1000
